Date;Players;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
26-01-2018;778073;6442737,5000;0;0,0000;1;1349899,3000;2;22457,6000;7;2166,0000;108;147,9000;269;79,6000;159;56,2000;3790;14,8000;3890;13,5000;8040;11,7000;20725;8,1000;53527;7,7000;112214;4,4000
23-01-2018;518715;3987220,0000;0;0,0000;1;246214,1000;0;28673,0000;5;2243,9000;76;88,5000;111;82,9000;183;41,8000;1770;16,1000;3262;9,2000;6340;9,9000;8135;10,0000;43389;5,8000;83437;3,9000
19-01-2018;740668;5879480,0000;0;0,0000;0;317749,9000;1;32892,2000;6;2262,4000;84;149,6000;234;77,3000;169;54,4000;3461;13,4000;3873;12,7000;8246;11,8000;17456;7,2000;57029;7,0000;113175;4,3000
16-01-2018;510747;3786267,5000;0;0,0000;1;228761,6000;0;42624,9000;2;5486,6000;41;200,7000;73;154,1000;63;67,8000;999;29,6000;1711;17,5000;4224;13,2000;5500;15,3000;25592;9,4000;64799;4,6000
12-01-2018;679834;5271352,5000;0;0,0000;0;402939,7000;0;35193,4000;8;2221,1000;64;142,0000;206;79,9000;169;53,8000;2713;14,9000;3209;12,7000;7386;10,7000;13433;8,4000;46586;7,3000;101100;4,0000
09-01-2018;441261;3172172,5000;0;0,0000;0;274999,0000;1;38430,2000;3;3356,6000;36;171,6000;108;94,9000;90;64,3000;1633;16,2000;1892;13,6000;3819;12,7000;8904;8,6000;28024;7,4000;53875;4,5000
05-01-2018;620813;4785305,0000;0;0,0000;0;155585,9000;1;28184,9000;0;2954,1000;46;203,6000;137;103,2000;104;68,7000;2379;17,1000;2306;15,7000;5359;13,5000;12663;8,6000;37284;8,3000;80940;4,6000
02-01-2018;399012;2838630,0000;0;0,0000;0;237898,1000;0;166227,5000;3;3695,7000;45;161,8000;78;100,0000;62;60,4000;1162;17,9000;1567;13,8000;3589;11,9000;5967;10,2000;23746;7,5000;53159;4,2000
29-12-2017;698597;5496532,5000;0;38906715,0000;0;0,0000;2;159959,5000;0;4767,9000;52;197,0000;103;138,6000;191;53,3000;1789;25,0000;2651;16,7000;8756;10,3000;8743;13,4000;38003;9,4000;118834;3,8000
26-12-2017;417673;3019507,5000;0;0,0000;0;235210,5000;0;18261,0000;0;2977,3000;31;173,9000;94;113,6000;93;59,6000;1115;21,4000;1749;15,6000;3965;12,2000;5656;11,7000;24473;8,5000;56532;4,3000
22-12-2017;697052;5402395,0000;0;0,0000;0;391378,4000;1;39067,0000;3;2907,8000;70;170,8000;131;91,4000;128;63,2000;2309;15,9000;2979;14,4000;6156;13,2000;12340;8,3000;44438;7,8000;92467;4,6000
19-12-2017;664209;5652110,0000;0;135346147,0000;0;434845,8000;2;43405,9000;4;2359,0000;77;165,6000;158;92,9000;179;57,8000;2568;16,7000;3146;14,7000;7232;12,0000;14331;8,4000;44531;8,1000;95028;4,6000
15-12-2017;885204;7661310,0000;0;0,0000;0;0,0000;0;395737,8000;2;4353,2000;64;230,7000;176;131,9000;156;75,3000;2573;22,7000;3524;17,6000;8005;14,2000;14219;11,7000;55167;9,1000;128412;4,7000
12-12-2017;605991;5055122,5000;0;0,0000;0;402110,4000;0;56193,6000;9;3926,5000;55;216,8000;155;110,0000;106;80,4000;2100;19,4000;2886;15,5000;5733;14,4000;11810;9,4000;40655;8,8000;85482;4,9000
08-12-2017;872630;7445660,0000;0;0,0000;0;477524,4000;1;66732,5000;4;3400,0000;104;187,5000;179;112,2000;176;70,6000;3007;19,8000;4520;14,3000;8607;13,8000;14606;10,7000;66454;7,6000;126569;4,7000
